Report generated on: 07-12-2024 00:37:33
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"INTL.7-1-PRT-TST.A","        Portugal","195.10887","202.82504","196.21118","203.92735","213.84814","261.24747","260.14516","287.70291","253.5313","284.39598","309.74911","297.6237","243.61051","217.15507","162.03957","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-ROU-TST.A","        Romania","38761.62884","40705.00137","41731.25198","49078.14813","48810.2868","51346.70211","52381.7712","56795.42044","64765.12174","67619.00233","42089.50273","35730.27634","42295.6347","43817.92481","44695.36357","45328.08951","46152.61739","37265.79417","28914.69361","25223.05742","32281.14835","36694.79759","33525.65634","36445.67553","35044.63952","34288.45486","38495.97213","39440.6518","39529.93891","37435.54991","34311.60337","39145.23272","37417.91295","27250.20551","25975.93515","28101.18883","25336.64385","28387.00899","26066.489916499995","23867.56996151","16536.85462","19547.26323","20017.9496"
"INTL.7-1-SVK-TST.A","        Slovakia","--","--","--","--","--","--","--","--","--","--","--","--","--","3909.89357","4005.79454","4143.58329","4220.74499","4315.54365","4355.22681","4131.45788","4021.22688","3774.30944","3752.26324","3413.85407","3254.01912","2767.90041","2426.18431","2326.97641","2670.89713","2836.24363","2621.29318","2619.08856","2526.49452","2593.73543","2411.85428","2137.37909","2035.96657","2021.6365399999997","1655.66962","1614.88415","1081.36611","1183.88094","959.0097"
"INTL.7-1-SVN-TST.A","        Slovenia","--","--","--","--","--","--","--","--","--","--","--","--","6144.27594","5644.92951","5350.61274","5383.68204","5254.71177","5434.3883","5373.76125","5022.12436","4938.3488","4555.84723","5165.42466","5324.1573","5301.00879","5004.4874","4984.64582","4998.97585","4982.4412","4882.13099","4883.2333","4961.49731","4715.68218","4272.55356","3425.97948","3492.11808","3691.63619","3699.35236","3546.13127","3464.35199341","3499.35694977","2879.25466389","2599.21831994"
"INTL.7-1-ESP-TST.A","        Spain","31186.5926","38633.80813","43622.86938","44040.64575","43642.71135","43720.97545","42240.5713","38130.05224","35097.59369","40180.35137","39332.62542","36995.72822","36895.41801","34814.25673","32664.75223","31200.88455","29751.3469","29200.1919","28812.17878","26785.03069","25872.31801","24998.18618","24288.29854","22665.69822","22583.02497","21474.10111","20334.31257","18939.89042","11229.23197","10411.31795","9292.4733","7298.39451","6813.37811","4851.26631","4297.90669","3377.47784","2187.15720498","3281.57687","2646.64631","0","0","0","0"
"INTL.7-1-SWE-TST.A","        Sweden","19.8416","17.63696","16.534655","15.43235","14.330045","13.22774","20.39276","27.55778","17.63696","22.04623","12.12541","30.86468","40.78547","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-NOEC-TST.A","    Non-OECD","1905539.899005258","1933698.3133450432","2031831.008277775","2112326.448140472","2230880.328000697","2359993.362863114","2441158.722777262","2515135.8098367327","2625188.2300021565","2674605.607823448","2667449.691153908","2607595.4426859757","2574328.3433151552","2559053.326490502","2605034.156921319","2682707.568330736","2760150.603122129","2732358.0101841493","2708623.0791602964","2692611.5661281077","2871075.9202196244","3020369.3437136617","3111182.6744436594","3531457.0312511376","3919485.237111352","4279360.298950383","4610186.390859206","4905751.497240805","5132366.674751166","5350663.134795965","5849545.543644415","6270403.801743745","6555693.2442377815","6709145.66903778","6596022.489599654","6500867.340327243","6173500.582673092","6367613.22255265","6751800.1024100045","7008082.79862631","6905506.669950659","7267663.410585243","7794211.701186233"
"INTL.7-1-AFG-TST.A","        Afghanistan","131.17505","137.78892","159.83515","159.83515","163.14208","166.44902","176.36982","184.086","152.11897","139.99354","115.74269","103.61727","8.81849","7.71618","6.61387","5.51156","3.30693","2.20462","2.20462","1.10231","1.10231","28.6601","23.14854","38.5809","37.47859","36.37627","38.5809","267.86166","382.50204","551.15568","823.04626305","1337.999254185","1893.3050145526","2027.6649300897","2595.7556776294","2272.774614759","2519.6878396093","2281.4887936185","3129.155679952","3319.40341841772","1952.3954849235","2963.82372284581","5384.9858994884"
"INTL.7-1-ALB-TST.A","        Albania","1563.07751","1697.55949","1873.92931","2039.27602","2215.64583","2369.96942","2388.70872","2352.33244","2407.44801","2417.36881","2282.88401","1198.21097","403.44546","235.89434","186.29039","88.1848","124.56103","42.99009","54.01319","54.01319","33.0693","23.14851","16.53465","63.93398","63.93398","49.60395","49.60395","49.60395","67.24091","11.0231","11.0231","5.51155","7.71617","9.92079","18.35346","26.78613","15.43234","50.70626","108.02638","134.17161","139.99337","265.38003019","417.2463812"
"INTL.7-1-DZA-TST.A","        Algeria","3.30693","10.471945","17.63696","24.801975","25.0775525","25.35313","12.12541","10.471945","11.02311","9.920795","11.8498425","13.77889","16.53467","22.04623","25.35313","24.25085","13.22774","12.12541","6.062715","0.99208799999999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
