Report generated on: 07-12-2024 00:35:57
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"INTL.3-1-BGR-BCF.A","            Bulgaria","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.353","0.324549696969697","1.4126","2.472","2.12","1.77","1.41","1.4126","1.05945","0.7063","0.7063","0.7063","0.716327236180904","0.752635269271383","12.5218380446334","17.7306016736402","16.9754786817714","10.5945","3.88465","0.35315","1.76575","12.36025","13.4445101879327","9.81757","6.3567","3.68526389713155","NA","NA","","","","",""
"INTL.3-1-BFA-BCF.A","            Burkina Faso","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
"INTL.3-1-MMR-BCF.A","            Burma","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","40","38.3232741617357","40","38.846","50.5","57.92","56.504","53.32565","62.1544","67.8048","123.95565","257.7995","310.772","363.7445","384.9335","485.58125","467.92375","498.6478","459.095","424.4863","438.6123","450.6194","449.2068","461.56705","550.56085","648.03025","NA","NA","","","","",""
"INTL.3-1-BDI-BCF.A","            Burundi","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
"INTL.3-1-CPV-BCF.A","            Cabo Verde","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
"INTL.3-1-KHM-BCF.A","            Cambodia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
"INTL.3-1-CMR-BCF.A","            Cameroon","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","88.29","88.29","76.9867","87.58","85.46","73.10205","73.10205","73.10205","73.10205","68.86425","62.50755","57.2103","53.32565","60.0355","65.33275","0","69.2174","69.2174","69.2174","83.69655","84.756","66.60409","70.98315","76.245085","90.4064","NA","NA","","","","",""
"INTL.3-1-CAN-BCF.A","            Canada","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4895.72","5120.22","5581.08","6039.041","6479.14","6798.49","6968.956155","7061.5874","7261.82345","7445.1083","7679.5999","7826.5103","7785.89805","7608.61675","7698.67","7734.33815","7784.55608","7625.35606","7368.61601","6927.67292","6695.335535","6669.23775","6310.29609","6456.07641","6814.276455","6751.698275","NA","NA","","","","",""
"INTL.3-1-CYM-BCF.A","            Cayman Islands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
"INTL.3-1-CAF-BCF.A","            Central African Republic","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
